ngram,size,n
earnings tax,2,78
eligible loans,2,78
entire trust,2,78
excluded subpart,2,78
export promotion expenses,3,78
extension thereof,2,78
federal income tax returns,4,78
foreign grantor,2,78
foreign trusts,2,78
furnish information,2,78
gross insurance income,3,78
hovering deficit,2,78
individual health insurance,3,78
legally enforceable,2,78
length charge,2,78
material costs,2,78
measurement dates,2,78
national securities,2,78
partnership liabilities,2,78
previously excluded subpart,3,78
promotion expenses,2,78
recomputed basis,2,78
reportable payments,2,78
reporting person,2,78
separate entity basis,3,78
stock distributed,2,78
stock means,2,78
structured settlement,2,78
surrogate foreign,2,78
surrogate foreign corporation,3,78
t.d 6516,2,78
tax bracket,2,78
tax exempt organizations,3,78
taxable income determined,3,78
total annual,2,78
total taxable income,3,78
unaffiliated domestic,2,78
withholding requirements,2,78
2002 t.d,2,77
2010 t.d,2,77
4.1 4.1,2,77
aggregate basis difference,3,77
applicable income,2,77
arm's length charge,3,77
beneficial ownership,2,77
branch profits tax,3,77
building system,2,77
calendar period,2,77
capital loss carryback,3,77
contracts entered,2,77
direct material,2,77
examples assume,2,77
exclusion ratio,2,77
federal reserve,2,77
foreign estate,2,77
foreign taxes deemed paid,4,77
free sales,2,77
fuel economy,2,77
gain determined,2,77
governmental plans,2,77
health savings,2,77
indoor tanning,2,77
information reporting requirements,3,77
investment return,2,77
legal obligation,2,77
major component,2,77
material change,2,77
options granted,2,77
period covered,2,77
period immediately,2,77
profits method,2,77
qualified reit,2,77
reasonable actuarial,2,77
reasonable expectations,2,77
regulated futures,2,77
resale price,2,77
revenue rulings notices,3,77
rulings notices,2,77
sales tax,2,77
segregated asset account,3,77
solar energy,2,77
statutory option,2,77
stock dividend,2,77
subject matter,2,77
tax free sales,3,77
taxpayer acquires,2,77
tenant stockholder,2,77
total distribution,2,77
transferred assets,2,77
transit passes,2,77
variable rate debt instrument,4,77
"10,000 10,000",2,76
2.3 2.3 2.3,3,76
2017 t.d,2,76
3.0 3.0 3.0,3,76
adjusted return,2,76
aggregate inside,2,76
aggregate inside loss,3,76
annual lease,2,76
annuity commencing,2,76
automatic allocation,2,76
benefit excess,2,76
brother sister,2,76
carryback adjustment,2,76
compensation received,2,76
computing depreciation,2,76
dc's basis,2,76
deferral method,2,76
defined benefit excess,3,76
dependent child,2,76
direct labor costs,3,76
disqualified taxable,2,76
dividend election,2,76
employer plans,2,76
exchange funds,2,76
external walls,2,76
final payment,2,76
fixed amount,2,76
foreign financial asset,3,76
includible compensation,2,76
independent contractors,2,76
inside loss,2,76
investment adjustments,2,76
licensing alternative,2,76
NA NA NA NA,4,76
ownership rules,2,76
partnership item,2,76
passive activities,2,76
person receiving,2,76
qualified recipient,2,76
remaining adjusted depreciable,3,76
remaining adjusted depreciable basis,4,76
remaining built,2,76
repair allowance,2,76
rev rul,2,76
securities held,2,76
significant business presence,3,76
signing tax,2,76
target affiliate,2,76
taxable loss,2,76
term employer,2,76
term property,2,76
tiered structure,2,76
total gross income,3,76
water conservation,2,76
written consent,2,76
2015 t.d,2,75
advance payments,2,75
adverse benefit,2,75
annual information return,3,75
annual installments,2,75
applicable taxable,2,75
average basis method,3,75
average rate,2,75
booked liabilities,2,75
care facility,2,75
contract means,2,75
contribution amount,2,75
december 31st,2,75
deemed liquidation,2,75
department store,2,75
determining net,2,75
distributable amount,2,75
economic risk,2,75
exempt recipients,2,75
facility bonds,2,75
financial instrument,2,75
financial instruments,2,75
foreign tax redetermination,3,75
gain recognition election,3,75
holding company tax,3,75
income credit,2,75
intangible development,2,75
intellectual property,2,75
inventory amount,2,75
manufactured produced,2,75
mining property,2,75
net assets,2,75
net taxable,2,75
nonresidential real,2,75
nonresidential real property,3,75
opportunity zone business property,4,75
original federal,2,75
parent entity,2,75
person entitled,2,75
personal holding company tax,4,75
policy cash,2,75
projected payment schedule,3,75
qualified opportunity zone business property,5,75
qualified veterans mortgage,3,75
recognition election,2,75
required payment,2,75
s's net,2,75
sale proceeds,2,75
separate units,2,75
shares held,2,75
signing tax return,3,75
size requirement,2,75
special trial,2,75
spousal consent,2,75
statutory notice,2,75
substantial services,2,75
tax means,2,75
tax redetermination,2,75
terminates employment,2,75
transactions entered,2,75
u.s booked liabilities,3,75
u.s income tax purposes,4,75
u.s indicia,2,75
unearned premiums,2,75
unit investment,2,75
unpaid portion,2,75
veterans mortgage,2,75
waiver amortization,2,75
written determinations,2,75
zone business property,3,75
1.1 1.1 1.1 1.1 1.1,5,74
2.8 2.8 2.8,3,74
accounts held,2,74
adjustment required,2,74
annualized income installment,3,74
benefit commencing,2,74
benefits rights,2,74
branded prescription,2,74
carryover allocation,2,74
class size requirement,3,74
contingent event benefits,3,74
controlling corporation,2,74
decommissioning costs,2,74
deemed dividend election,3,74
disposition occurs,2,74
dividend payment,2,74
duplication property,2,74
eligible rollover distributions,3,74
event benefits,2,74
exception applies,2,74
exempt bond,2,74
foreign central bank,3,74
grass roots lobbying communication,4,74
income deductions,2,74
income housing credit,3,74
income installment,2,74
inter vivos,2,74
international operation,2,74
loss duplication property,3,74
low income housing credit,4,74
minimum class,2,74
minimum class size,3,74
minimum class size requirement,4,74
newly issued,2,74
original debt,2,74
parachute payments,2,74
partially tax exempt,3,74
post transaction,2,74
premium payments,2,74
primary withholding,2,74
profit split method,3,74
proportionate amount,2,74
qualified financial institution,3,74
retirement type subsidy,3,74
return preparation,2,74
roots lobbying communication,3,74
separate activity,2,74
single activity,2,74
split method,2,74
tax exempt bond,3,74
tentative carryback adjustment,3,74
tentative ratable,2,74
transaction involving,2,74
type subsidy,2,74
valuation rules,2,74
1.9 1.9 1.9 1.9,4,73
13032 dec,2,73
3.2 3.2 3.2,3,73
adequate stated,2,73
administrative period,2,73
amortizable basis,2,73
amounts contributed,2,73
annualization period,2,73
applicable amount,2,73
application form,2,73
asset class,2,73
benefit determined,2,73
benefit package,2,73
calendar day,2,73
communications income,2,73
consistent basis,2,73
construction contract,2,73
constructively owned,2,73
contract method,2,73
convincing evidence,2,73
corporation receives,2,73
credit allocations,2,73
debt instruments issued,3,73
deductions allocable,2,73
depreciation attributable,2,73
development bonds,2,73
domestic distributing,2,73
estate investment trusts,3,73
foreign distributee,2,73
fr 13032,2,73
fr 13032 dec,3,73
income equivalent,2,73
law including extensions,3,73
losses attributable,2,73
married individuals,2,73
motor vehicles,2,73
net decrease,2,73
net short term capital gain,5,73
owner shift,2,73
penalties applicable,2,73
previous taxable,2,73
profits amount,2,73
protected benefit,2,73
real estate investment trusts,4,73
rental agreements,2,73
revenue law,2,73
substantial presence,2,73
tax exempt status,3,73
taxpayer fails,2,73
taxpayer's tax,2,73
term obligation,2,73
trust attributable,2,73
u.s withholding,2,73
unpredictable contingent event benefits,4,73
additional guidance,2,72
annual compensation limit,3,72
assistance program,2,72
branch owner,2,72
christian science,2,72
consolidated tax,2,72
contract issued,2,72
deferred cod,2,72
deferred cod income,3,72
direct costs,2,72
domestic liquidating,2,72
employer tax,2,72
employer wide,2,72
farm land,2,72
file returns,2,72
foreign branch owner,3,72
foreign payor,2,72
housing credit allocations,3,72
including penalties,2,72
income amount,2,72
individual's taxable,2,72
industrial development bonds,3,72
intermediary withholding certificate,3,72
major portion,2,72
nonvoting stock,2,72
percent declining,2,72
percent declining balance,3,72
person acting,2,72
premium payment,2,72
qualified low income building,4,72
remaining deferred,2,72
reportable gambling,2,72
residential rental property,3,72
retail outlet,2,72
rolling stock,2,72
roth iras,2,72
subsequent sale,2,72
tax rates,2,72
terminal railroad,2,72
transferred proceeds,2,72
treasury securities,2,72
treaty benefits,2,72
triangular reorganization,2,72
u.s accounts,2,72
withholding foreign partnership,3,72
1.0 2.0 3.0 4.0 5.0 6.0,6,71
1.6 1.6 1.6 1.6,4,71
2.0 3.0 4.0 5.0 6.0,5,71
"25,000 amount",2,71
3.0 4.0 5.0 6.0,4,71
3.4 3.4 3.4,3,71
4.0 5.0 6.0,3,71
5.0 6.0,2,71
actual amount,2,71
amounts transferred,2,71
applicable revenue,2,71
average adjusted,2,71
benefit determination,2,71
benefit excess plan,3,71
care services,2,71
closer connection,2,71
combination thereof,2,71
controlled taxpayers,2,71
corporation elects,2,71
defined benefit excess plan,4,71
depreciation allowances,2,71
determination period,2,71
directly owned,2,71
district directors,2,71
escrow account,2,71
financial account,2,71
financing transactions,2,71
form 5472,2,71
grantor trusts,2,71
investment adjustment,2,71
june 1986,2,71
legally separated,2,71
limited partner,2,71
living adjustment determined,3,71
mutual savings,2,71
november 1978,2,71
offered regulated investment company,4,71
post june,2,71
public health service,3,71
qualifying child,2,71
qualifying qof,2,71
relevant business,2,71
relinquished property,2,71
retail sales,2,71
separate plans,2,71
separate statement,2,71
services costs,2,71
splitter arrangement,2,71
subsequent calendar,2,71
t.d 9849,2,71
tax resulting,2,71
term u.s,2,71
timely files,2,71
transferor plan,2,71
triggering events,2,71
umwa benefit,2,71
umwa benefit plan,3,71
withholding exemptions,2,71
account balance plan,3,70
acquisition price,2,70
amounts allocated,2,70
amounts representing,2,70
applicable exclusion,2,70
bank account,2,70
benefits paid,2,70
citations affecting,2,70
contribution arrangement,2,70
corporation shareholder,2,70
deliberate action,2,70
depreciation expense,2,70
diesel powered,2,70
distribution option,2,70
economic performance occurs,3,70
emergency medical,2,70
employee's spouse,2,70
federal register citations,3,70
federal register citations affecting,4,70
financial services income,3,70
finding aids,2,70
gilti inclusion,2,70
income tax paid,3,70
income tax return including,4,70
jobs credit,2,70
liability incurred,2,70
lowest cost,2,70
medical condition,2,70
nonwithholding foreign,2,70
officer employee,2,70
offset allowance,2,70
ownership change occurs,3,70
partial tax,2,70
percent factor,2,70
performance occurs,2,70
period commencing,2,70
period determined,2,70
permissible method,2,70
person engaged,2,70
personal services performed,3,70
post june 1986,3,70
printed volume,2,70
qualified derivatives,2,70
qualified floating rate,3,70
qualified pension,2,70
recognized representative,2,70
register citations,2,70
register citations affecting,3,70
residual profit,2,70
separate corporation,2,70
services cost,2,70
services transaction,2,70
substantial service,2,70
taxable gain,2,70
taxpayer's principal,2,70
term excess,2,70
trasop securities,2,70
trust taxable,2,70
2.1 2.1 2.1 2.1,4,69
2.7 2.7,2,69
30th day,2,69
5.3 5.3,2,69
accident disability,2,69
accumulated income,2,69
amounts properly,2,69
annual addition,2,69
applicable model,2,69
assets including,2,69
base benefit,2,69
benefit requirement,2,69
benefit shares,2,69
book tax book,3,69
capital structure,2,69
consulting services,2,69
corporation controlled,2,69
corporation's earnings,2,69
costs include,2,69
disallowed bie,2,69
domestic subsidiary,2,69
entire calendar,2,69
expenses including,2,69
foreign commerce,2,69
foreign simple,2,69
frozen accrued benefit,3,69
generation skipping transfer tax,4,69
gift taxes,2,69
health plan coverage,3,69
income based,2,69
individual health insurance coverage,4,69
information furnished,2,69
legislative body,2,69
loss determined,2,69
modified gross,2,69
modified gross income,3,69
national taxpayer,2,69
percent declining balance method,4,69
personally liable,2,69
potential current,2,69
premium assistance,2,69
primary withholding responsibility,3,69
qualified individual,2,69
recomputed credit,2,69
research activities,2,69
skip person,2,69
skipping transfer tax,3,69
special transfer,2,69
suspense preferences,2,69
tax book tax,3,69
taxpayer holds,2,69
taxpayer's business,2,69
thereunder t.d,2,69
tiered partnerships,2,69
total allocable,2,69
triangular merger,2,69
widely held,2,69
withholding agents,2,69
6a 103a,2,68
accrual periods,2,68
adjusted purchase,2,68
adjusted purchase price,3,68
aggregated property,2,68
